Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,534,6877,1154,6.0,17,8,417,360,530,3820,35,9,6.8,205,592,3057,24,5.2,179,120,977,33,185,51.4,8.6,Own 31.3,3:04,6.5,37.1,2.82,223,112,50.2%,15,9,60.0%,76,50,65.8%
2023,416,4997,1016,4.9,11,3,311,309,481,2916,19,8,5.7,162,508,2081,25,4.1,122,89,679,27,183,37.7,5.5,Own 31.6,2:41,5.7,27.3,2.09,221,84,38.0%,10,7,70.0%,57,36,63.2%
2022,374,5953,1103,5.4,17,7,346,383,580,3868,25,10,6.3,194,488,2085,17,4.3,125,105,866,27,193,34.2,8.3,Own 28.4,2:49,5.9,30.8,1.90,231,95,41.1%,18,8,44.4%,57,32,56.1%
2021,404,5201,1028,5.1,16,7,311,337,515,3266,26,9,5.9,170,474,1935,16,4.1,112,108,896,29,197,37.6,8.1,Own 33.5,2:33,5.4,26.1,1.98,217,82,37.8%,21,12,57.1%,52,35,67.3%
2020,402,5761,1022,5.6,22,15,360,398,585,3825,28,7,6.2,211,408,1936,17,4.7,114,85,713,35,161,46.0,12.4,Own 29.8,2:53,6.5,35.6,2.50,199,98,49.2%,10,6,60.0%,57,36,63.2%
2019,470,5992,1042,5.8,21,7,355,347,544,3696,21,14,6.2,197,445,2296,31,5.2,128,109,940,30,197,40.1,10.2,Own 30.0,2:32,5.5,30.4,2.26,193,77,39.9%,9,6,66.7%,64,41,64.1%
2018,382,5651,948,6.0,23,10,315,353,529,3847,32,13,6.8,185,384,1804,13,4.7,110,91,805,20,171,38.0,12.9,Own 27.6,2:44,5.7,33.0,2.19,183,73,39.9%,17,10,58.8%,47,33,70.2%
2017,327,5074,953,5.3,21,11,282,351,550,3665,25,10,6.1,187,353,1409,7,4.0,69,101,867,26,180,33.9,11.7,Own 28.1,2:28,5.5,28.2,1.73,206,78,37.9,20,7,35.0,44,21,47.7
2016,402,5756,1035,5.6,27,10,329,409,612,4291,27,17,6.5,223,376,1465,11,3.9,90,112,907,16,196,36.2,13.8,Own 27.3,2:23,5.5,29.4,1.86,211,80,37.9%,13,9,69.2%,55,24,43.6%
2015,308,5167,1058,4.9,39,15,298,390,650,3752,21,24,5.4,198,364,1415,11,3.9,74,99,822,26,196,26.5,19.4,Own 27.1,2:20,5.5,26.2,1.45,227,86,37.9%,26,15,57.7%,40,21,52.5%
