Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,435,6629,1125,5.9,9,3,389,389,580,4375,29,6,7.1,219,511,2254,19,4.4,137,105,808,33,180,45.6,4.4,Own 28.7,3:09,6.5,36.8,2.43,225,97,43.1%,24,14,58.3%,59,35,59.3%
2023,371,5828,1078,5.4,27,11,314,404,617,4076,27,16,6.2,198,421,1752,15,4.2,99,108,961,17,195,32.3,12.8,Own 28.5,2:35,5.7,29.8,1.83,230,84,36.5%,41,21,51.2%,52,29,55.8%
2022,350,6006,1106,5.4,27,13,350,385,601,4055,25,14,6.4,211,470,1951,14,4.2,114,90,683,25,180,36.1,14.4,Own 27.1,2:52,6.3,33.3,1.95,220,95,43.2%,31,10,32.3%,52,31,59.6%
2021,457,6002,1068,5.6,9,2,351,377,543,3875,24,7,6.7,198,493,2127,22,4.3,124,104,879,29,172,45.3,5.2,Own 29.7,3:13,6.4,34.9,2.43,221,95,43.0%,21,14,66.7%,61,38,62.3%
2020,492,6683,1068,6.3,17,5,394,370,533,4231,34,12,7.7,210,517,2452,23,4.7,140,78,710,44,184,47.8,9.2,Own 31.2,2:50,6.0,36.4,2.67,198,86,43.4%,18,12,66.7%,63,40,63.5%
2019,397,6007,999,6.0,19,9,340,327,517,3778,22,10,6.7,193,435,2229,23,5.1,114,102,883,33,180,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,190,79,41.6%,11,5,45.5%,56,32,57.1%
2018,316,4983,970,5.1,17,6,288,312,499,3113,17,11,5.8,162,434,1870,16,4.3,89,92,735,37,181,33.1,8.3,Own 29.5,2:38,5.6,27.5,1.72,212,80,37.7%,12,3,25.0%,47,24,51.1%
2017,268,4578,993,4.6,33,12,257,289,509,2718,17,21,4.8,143,429,1860,9,4.3,91,112,1050,23,205,23.9,15.6,Own 28.7,2:14,5.0,22.2,1.24,220,74,33.6,13,6,46.2,28,11,39.3
2016,400,5147,1030,5.0,13,6,305,345,551,3444,20,7,5.9,174,446,1703,17,3.8,93,101,948,38,191,39.3,5.8,Own 31.6,2:35,5.6,26.8,1.95,224,83,37.1%,13,6,46.2%,55,30,54.5%
2015,448,6000,1102,5.4,18,9,362,390,602,4291,29,9,6.7,222,464,1709,15,3.7,102,114,989,38,194,38.1,8.8,Own 28.9,2:42,5.9,30.9,2.05,227,105,46.3%,12,6,50.0%,57,35,61.4%
