,Year,Age,Level,Employer,Role
0,1983,30,College,Hawaii,QB Coach
1,1984,31,USFL,Houston Gamblers,WR Coach
2,1985,32,USFL,Denver Gold,Offensive Coordinator
3,1986,33,CFL,Ottawa Rough Riders,Offensive Coordinator
4,1987,34,NFL,Houston Oilers,QB Coach
5,1988,35,NFL,Houston Oilers,QB Coach
6,1989,36,NFL,Detroit Lions,QB/WR Coach
7,1990,37,NFL,Detroit Lions,QB/WR Coach
8,1991,38,NFL,Atlanta Falcons,Offensive Coordinator
9,1992,39,NFL,Atlanta Falcons,Offensive Coordinator
10,1993,40,NFL,Atlanta Falcons,Offensive Coordinator
11,1994,41,NFL,Atlanta Falcons,Head Coach
12,1995,42,NFL,Atlanta Falcons,Head Coach
13,1996,43,NFL,Atlanta Falcons,Head Coach
14,1998,45,NFL,San Diego Chargers,Head Coach
15,1999,46,College,Hawaii,Head Coach
16,2000,47,College,Hawaii,Head Coach
17,2001,48,College,Hawaii,Head Coach
18,2002,49,College,Hawaii,Head Coach
19,2003,50,College,Hawaii,Head Coach
20,2004,51,College,Hawaii,Head Coach
21,2005,52,College,Hawaii,Head Coach
22,2006,53,College,Hawaii,Head Coach
23,2007,54,College,Hawaii,Head Coach
24,2008,55,College,SMU,Head Coach
25,2009,56,College,SMU,Head Coach
26,2010,57,College,SMU,Head Coach
27,2011,58,College,SMU,Head Coach
28,2012,59,College,SMU,Head Coach
29,2013,60,College,SMU,Head Coach
30,2014,61,College,SMU,Head Coach
31,2016,63,High School,Kapolei HS,Offensive Coordinator
32,2017,64,CFL,Hamilton Tiger-Cats,Head Coach
33,2018,65,CFL,Hamilton Tiger-Cats,Head Coach
34,2020,67,XFL,Houston Roughnecks,Head Coach
35,2023,70,XFL,Seattle Sea Dragons,Offensive Coordinator
