Year,Age,Level,Employer,Role
1962,23,High School,Oceanside HS (NY),Head Coach
1963,24,High School,Oceanside HS (NY),Head Coach
1964,25,High School,Newfield HS (NY),Head Coach
1965,26,High School,Newfield HS (NY),Head Coach
1966,27,College,C.W. Post,Backfield Coach
1967,28,College,C.W. Post,Backfield Coach
1968,29,College,C.W. Post,Backfield Coach
1969,30,College,C.W. Post,Backfield Coach
1970,31,College,Villanova,Receivers/QBs
1971,32,College,Maryland,Quarterbacks
1972,33,College,Southern Miss,Offensive Coordinator/QBs
1973,34,College,Villanova,Offensive Coordinator
1974,35,WFL,Florida Blazers,Offensive Backs
1975,36,NFL,Chicago Bears,Offensive Backs
1976,37,NFL,Chicago Bears,Offensive Backs
1977,38,NFL,Chicago Bears,Offensive Backs
1978,39,NFL,San Francisco 49ers,Offensive Coordinator/Interim HC
1979,40,NFL,Washington Redskins,Offensive Backs
1980,41,NFL,Washington Redskins,Offensive Backs
1981,42,CFL,Montreal Alouettes,Offensive Coordinator
1987,48,College,Catholic Univ. (DC),Head Coach
1988,49,College,Catholic Univ. (DC),Head Coach
1989,50,College,Catholic Univ. (DC),Head Coach
2000,61,College,Florida Atlantic,Assistant Coach
2001,62,College,Florida Atlantic,Assistant Coach
2002,63,College,Florida Atlantic,Assistant Coach
2003,64,College,Florida Atlantic,Assistant Coach
2004,65,College,Florida Atlantic,Assistant Coach
2005,66,College,Florida Atlantic,Assistant Coach
