Year,Age,Level,Employer,Role
1978,23,College,Northern Michigan,Quarterbacks/Running Backs
1979,24,College,Northern Michigan,Quarterbacks/Running Backs
1980,25,College,Cal State Fullerton,Quarterbacks/Special Teams Coordinator
1981,26,College,Cal State Fullerton,Quarterbacks/Special Teams Coordinator
1982,27,College,Cal State Fullerton,Quarterbacks/Special Teams Coordinator
1983,28,College,Louisville,Offensive Coordinator
1984,29,College,Louisville,Assistant Head Coach/Offensive Coordinator
1985,30,USFL,Orlando Renegades/Los Angeles Rams,Wide Receivers
1985,30,USFL,Orlando Renegades/Los Angeles Rams,Wide Receivers/Tight Ends (Rams - Quality Control)
1986,31,College,USC,Assistant Coach
1987,32,College,California,Wide Receivers/Special Teams
1988,33,College,California,Wide Receivers/Special Teams
1989,34,College,California,Wide Receivers/Special Teams
1990,35,College,California,Offensive Coordinator
1991,36,College,California,Offensive Coordinator
1992,37,NFL,Green Bay Packers,Quarterbacks
1993,38,NFL,Green Bay Packers,Quarterbacks
1994,39,NFL,Green Bay Packers,Quarterbacks
1995,40,NFL,Green Bay Packers,Quarterbacks
1996,41,College,California,Head Coach
1997,42,NFL,San Francisco 49ers,Head Coach
1998,43,NFL,San Francisco 49ers,Head Coach
1999,44,NFL,San Francisco 49ers,Head Coach
2000,45,NFL,San Francisco 49ers,Head Coach
2001,46,NFL,San Francisco 49ers,Head Coach
2002,47,NFL,San Francisco 49ers,Head Coach
2003,48,NFL,Detroit Lions,Head Coach
2004,49,NFL,Detroit Lions,Head Coach
2005,50,NFL,Detroit Lions,Head Coach
