Year,Age,Level,Employer,Role
1960,32,College,New Mexico,Assistant Coach
1961,33,College,New Mexico,Assistant Coach
1962,34,College,New Mexico,Assistant Coach
1963,35,College,Stanford,Assistant Coach
1964,36,College,Stanford,Assistant Coach
1965,37,College,Stanford,Assistant Coach
1966,38,College,Stanford,Assistant Coach
1967,39,College,North Texas,Head Coach
1968,40,College,North Texas,Head Coach
1969,41,College,North Texas,Head Coach
1970,42,College,North Texas,Head Coach
1971,43,College,North Texas,Head Coach
1972,44,College,North Texas,Head Coach
1973,45,CFL,Montreal Alouettes,Defensive Coordinator
1974,46,CFL,Montreal Alouettes,Defensive Coordinator
1975,47,CFL,Montreal Alouettes,Defensive Coordinator
1976,48,NFL,Philadelphia Eagles,Linebackers
1977,49,NFL,Philadelphia Eagles,Linebackers
1978,50,NFL,Kansas City Chiefs,Defensive Coordinator
1979,51,NFL,Kansas City Chiefs,Defensive Coordinator
1980,52,NFL,Kansas City Chiefs,Defensive Coordinator
1981,53,NFL,Kansas City Chiefs,Defensive Coordinator
1982,54,NFL,Kansas City Chiefs,Defensive Coordinator
1983,55,NFL,New England Patriots,Defensive Coordinator
1984,56,NFL,New England Patriots,Defensive Coordinator
1985,57,NFL,New England Patriots,Defensive Coordinator
1986,58,NFL,New England Patriots,Defensive Coordinator
1987,59,NFL,New England Patriots,Defensive Coordinator
1988,60,NFL,Kansas City Chiefs,Defensive Coordinator
1989,61,NFL,Pittsburgh Steelers,Defensive Coordinator
1990,62,NFL,New England Patriots,Head Coach
1992,64,NFL,New York Giants,Defensive Coordinator
1994,66,College,Lehigh,Linebackers
1995,67,NFL,Atlanta Falcons,Linebackers
1996,68,NFL,Atlanta Falcons,Defensive Coordinator
1997,69,CFL,Montreal Alouettes,Defensive Coordinator
1998,70,CFL,Montreal Alouettes,Defensive Coordinator
1999,71,NFL,San Francisco 49ers,Asst. Linebackers
2001,73,CFL,Montreal Alouettes,Head Coach
2002,74,NFL,New York Giants,Linebackers
2003,75,NFL,New York Giants,Linebackers
2004,76,NFL,New York Giants,Linebackers
2005,77,CFL,Winnipeg Blue Bombers,Defensive Coordinator
