Year,Age,Level,Employer,Role
1951,24,High School,Wartburg Central HS (TN),Head Coach
1952,25,High School,Spring City HS (TN),Head Coach
1953,26,High School,Spring City HS (TN),Head Coach
1954,27,High School,Ft. Thomas Highlands HS (KY),Head Coach
1955,28,High School,Ft. Thomas Highlands HS (KY),Head Coach
1956,29,High School,Ft. Thomas Highlands HS (KY),Head Coach
1957,30,High School,Ft. Thomas Highlands HS (KY),Head Coach
1958,31,High School,Ft. Thomas Highlands HS (KY),Head Coach
1959,32,High School,Ft. Thomas Highlands HS (KY),Head Coach
1960,33,High School,Ft. Thomas Highlands HS (KY),Head Coach
1961,34,High School,Ft. Thomas Highlands HS (KY),Head Coach
1962,35,College,Kentucky,Offensive Assistant
1963,36,College,Kentucky,Offensive Assistant
1964,37,College,Kentucky,Offensive Assistant
1965,38,College,Kentucky,Offensive Assistant
1966,39,College,Oklahoma,Offensive Backfield
1967,40,College,Cincinnati,Head Coach
1968,41,College,Cincinnati,Head Coach
1976,49,College,Rice,Head Coach
1977,50,College,Rice,Head Coach
1978,51,NFL,Cincinnati Bengals,Head Coach
1979,52,NFL,Cincinnati Bengals,Head Coach
