Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2013,KAN,OC,32,6,2,4,25,21,6,2,15,10,5,5,16,20,24,15,1,24,24,5,2,11,22,6,26,1,24,25,14,3,14
2014,KAN,OC,32,13,21,9,22,25,16,4,16,10,3,5,19,28,29,27,1,23,7,2,30,18,28,1,30,21,13,2,6,30,4
2015,KAN,OC,32,6,2,6,15,27,9,2,12,6,1,3,7,29,30,26,1,16,7,3,5,7,8,3,16,27,26,9,15,2,4
2016,PHI,HC,32,21,7,9,21,22,16,14,10,11,10,18,5,6,24,28,16,28,13,12,10,10,15,5,16,9,15,13,17,9,22
2017,PHI,HC,32,1,4,1,4,7,3,11,6,3,24,4,22,13,13,1,6,14,4,4,4,1,1,3,6,4,31,17,18,4,7
2018,PHI,HC,32,13,25,12,20,14,18,20,20,28,20,30,29,7,7,11,10,10,23,12,22,1,7,19,21,19,30,30,8,25,13
2019,PHI,HC,32,11,22,11,11,14,12,19,7,11,13,19,31,8,11,12,5,20,10,15,19,3,3,14,11,14,21,19,21,22,16
2020,PHI,HC,32,27,29,27,23,24,26,30,23,9,15,3,18,10,28,24,31,32,19,20,22,28,23,25,10,4,5,15,15,29,20
2022,JAX,HC,32,11,7,7,16,10,10,14,17,14,11,9,30,10,10,14,3,11,24,12,5,20,12,14,7,2,26,28,19,12,23
2023,JAX,HC,32,13,21,14,17,13,13,28,17,24,9,30,31,6,9,21,19,15,22,17,8,8,9,17,16,8,28,26,25,11,18
2024,JAX,HC,32,27,29,25,31,25,26,24,26,26,20,19,17,20,24,28,23,18,31,27,32,30,25,23,15,30,25,32,26,30,32
