Year,Age,Level,Employer,Role
1945,32,NFL,Cleveland Rams,Offensive Backfield
1946,33,NFL,Los Angeles Rams,Offensive Backfield
1947,34,NFL,Los Angeles Rams,Head Coach
1948,35,College,Southern California,Assistant Coach
1949,36,NFL,Green Bay Packers,Backfield Coach
1950,37,College,Toledo,Head Coach
1953,40,CFL,Calgary Stampeders,Head Coach
1954,41,College,Villanova,Assistant Coach
1955,42,NFL,Pittsburgh Steelers,Assistant Coach
1956,43,NFL,Pittsburgh Steelers,Assistant Coach
1957,44,College,West Virginia,Assistant Coach
1958,45,College,West Virginia,Assistant Coach
1962,49,UFL,Toledo Tornadoes,Head Coach
1963,50,UFL,Toledo Tornadoes,Head Coach
1964,51,UFL,Toledo Tornadoes,Head Coach
1965,52,COFL,Wheeling Ironmen,Head Coach
1966,53,COFL,Wheeling Ironmen,Head Coach
1967,54,COFL,Wheeling Ironmen,Head Coach
1968,55,COFL,Indianapolis Capitols,Head Coach
