,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1920,25,CHI,APFA,13,10,1,2,.909,10.7,0.7,10.0,,,,,2,
1,1921,26,CHI,APFA,11,9,1,1,.900,2.9,0.4,2.6,,,,,1,NFL Champions
2,1922,27,CHI,NFL,12,9,3,0,.750,6.1,0.0,6.2,,,,,2,
3,1923,28,CHI,NFL,12,9,2,1,.818,5.1,0.5,4.6,,,,,2,
4,1924,29,CHI,NFL,11,6,1,4,.857,7.5,2.7,4.8,,,,,2,
5,1925,30,CHI,NFL,17,9,5,3,.643,3.2,0.8,2.4,,,,,7,
6,1926,31,CHI,NFL,16,12,1,3,.923,8.1,5.4,2.8,,,,,2,
7,1927,32,CHI,NFL,14,9,3,2,.750,5.3,2.6,2.7,,,,,3,
8,1928,33,CHI,NFL,13,7,5,1,.583,3.1,2.1,1.1,,,,,5,
9,1929,34,CHI,NFL,15,4,9,2,.308,-5.4,-1.6,-3.8,,,,,9,
10,1933,38,CHI,NFL,13,10,2,1,.833,6.9,1.9,5.0,1,1,0,1.000,1,NFL Champions
11,1934,39,CHI,NFL,13,13,0,0,1.000,14.3,10.9,3.4,1,0,1,.000,1,
12,1935,40,CHI,NFL,12,6,4,2,.600,8.3,5.8,2.5,,,,,3,
13,1936,41,CHI,NFL,12,9,3,0,.750,11.0,6.6,4.4,,,,,2,
14,1937,42,CHI,NFL,11,9,1,1,.900,9.7,5.6,4.1,1,0,1,.000,1,
15,1938,43,CHI,NFL,11,6,5,0,.545,4.1,3.9,0.1,,,,,3,
16,1939,44,CHI,NFL,11,8,3,0,.727,12.2,12.3,0.0,,,,,2,
17,1940,45,CHI,NFL,11,8,3,0,.727,9.0,6.8,2.2,1,1,0,1.000,1,NFL Champions
18,1941,46,CHI,NFL,11,10,1,0,.909,20.3,19.6,0.7,2,2,0,1.000,1,NFL Champions
19,1942,47,CHI,NFL,5,5,0,0,1.000,21.4,16.0,5.3,,,,,1,
20,1946,51,CHI,NFL,11,8,2,1,.800,7.8,6.5,1.3,1,1,0,1.000,1,NFL Champions
21,1947,52,CHI,NFL,12,8,4,0,.667,11.6,9.6,2.1,,,,,2,
22,1948,53,CHI,NFL,12,10,2,0,.833,17.3,6.5,10.9,,,,,2,
23,1949,54,CHI,NFL,12,9,3,0,.750,9.8,5.2,4.6,,,,,2,
24,1950,55,CHI,NFL,12,9,3,0,.750,2.3,-4.5,6.8,1,0,1,.000,1,
25,1951,56,CHI,NFL,12,7,5,0,.583,-1.2,-0.2,-0.9,,,,,4,
26,1952,57,CHI,NFL,12,5,7,0,.417,-6.8,-1.3,-5.5,,,,,5,
27,1953,58,CHI,NFL,12,3,8,1,.273,-4.6,-4.5,0.0,,,,,4,
28,1954,59,CHI,NFL,12,8,4,0,.667,4.7,5.2,-0.5,,,,,2,
29,1955,60,CHI,NFL,12,8,4,0,.667,0.0,2.3,-2.3,,,,,2,
30,1958,63,CHI,NFL,12,8,4,0,.667,5.9,1.1,4.8,,,,,2,
31,1959,64,CHI,NFL,12,8,4,0,.667,5.4,-0.8,6.2,,,,,2,
32,1960,65,CHI,NFL,12,5,6,1,.455,-8.0,-4.9,-3.0,,,,,5,
33,1961,66,CHI,NFL,14,8,6,0,.571,4.3,2.8,1.5,,,,,3,
34,1962,67,CHI,NFL,14,9,5,0,.643,6.1,2.7,3.4,,,,,3,
35,1963,68,CHI,NFL,14,11,1,2,.917,9.4,-1.5,10.9,1,1,0,1.000,1,NFL Champions
36,1964,69,CHI,NFL,14,5,9,0,.357,-4.6,-0.8,-3.8,,,,,6,
37,1965,70,CHI,NFL,14,9,5,0,.643,14.6,8.6,5.9,,,,,3,
38,1966,71,CHI,NFL,14,5,7,2,.417,-0.3,-2.6,2.3,,,,,5,
39,1967,72,CHI,NFL,14,7,6,1,.538,3.0,-3.6,6.6,,,,,2,
