,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,131,1938,430,4.5,6,2,129,175,265,1385,10,4,4.9,82,148,553,2,3.7,36,31,237,11,77,29.9,7.8,Own 28.5,2:42,5.77,25.2,1.52,89,30,33.7,7,2,28.6,18,11,61.1
1,2022,418,5768,1053,5.5,18,6,357,418,610,4240,35,12,6.5,221,399,1528,14,3.8,96,81,623,40,176,41.5,9.7,Own 30.7,2:56,6.15,32.7,2.36,206,95,46.1%,12,3,25.0%,57,37,64.9%
2,2021,460,6145,1046,5.9,21,7,337,384,555,4403,36,14,7.2,208,436,1742,16,4.0,96,72,620,33,190,42.6,10.0,Own 29.8,2:49,5.68,32.2,2.37,207,82,39.6%,20,13,65.0%,52,31,59.6%
3,2020,311,5116,1040,4.9,24,13,318,372,581,3448,19,11,5.5,201,411,1668,13,4.1,92,83,675,25,179,33.0,12.8,Own 28.0,2:47,6.00,28.4,1.70,213,77,36.2%,27,19,70.4%,48,24,50.0%
4,2019,279,5169,1049,4.9,30,14,312,356,616,3652,18,16,5.5,191,385,1517,9,3.9,85,93,761,36,181,29.8,15.5,Own 28.0,2:37,5.97,28.5,1.49,222,80,36.0%,26,13,50.0%,48,21,43.8%
5,2018,368,4972,938,5.3,17,4,304,331,542,3290,27,13,5.7,182,359,1682,13,4.7,92,114,957,30,166,35.5,9.6,Own 29.0,2:39,5.78,29.7,2.03,187,69,36.9%,17,9,52.9%,45,32,71.1%
6,2017,290,4488,927,4.8,23,11,267,304,510,3122,25,12,5.7,165,377,1366,6,3.6,72,110,1027,30,185,26.5,11.4,Own 27.9,2:22,5.11,24.2,1.46,199,67,33.7,12,5,41.7,43,24,55.8
7,2016,325,5711,1050,5.4,17,9,341,364,563,3942,18,8,6.5,204,446,1769,17,4.0,100,88,726,37,176,35.8,8.5,Own 26.8,2:45,6.15,32.4,1.87,210,82,39.0%,9,7,77.8%,54,29,53.7%
8,2015,419,5728,1004,5.7,17,8,324,334,505,3923,31,9,7.3,191,467,1805,18,3.9,99,111,917,34,182,39.6,9.3,Own 30.1,2:45,5.67,31.2,2.26,201,81,40.3%,12,7,58.3%,58,38,65.5%
9,2014,365,5568,1018,5.5,26,9,313,323,503,3421,20,17,6.5,164,492,2147,19,4.4,122,102,812,27,191,34.0,13.1,Own 30.3,2:33,5.50,29.1,1.84,211,84,39.8%,13,7,53.8%,49,28,57.1%
10,2013,430,5891,1097,5.4,30,10,330,364,587,4136,33,20,6.7,205,481,1755,14,3.6,101,102,1000,24,201,32.3,14.9,Own 26.9,2:37,5.57,29.2,1.91,225,92,40.9%,21,12,57.1%,46,34,73.9%
11,2012,391,5323,1016,5.2,26,10,292,335,540,3578,28,16,6.1,173,430,1745,11,4.1,95,99,857,24,195,35.4,12.8,Own 31.2,2:30,5.39,27.2,1.86,217,74,34.1%,16,11,68.8%,57,31,54.4%
12,2011,344,5118,1015,5.0,22,8,285,308,535,3340,21,14,6.0,160,455,1778,10,3.9,93,99,874,32,197,32.5,9.6,Own 30.1,2:28,5.35,26.0,1.60,219,80,36.5%,10,4,40.0%,51,23,45.1%
13,2010,322,5289,1046,5.1,34,14,317,365,590,3767,26,20,6.1,206,428,1522,8,3.6,85,90,725,26,190,30.5,16.3,Own 31.2,2:38,5.67,27.9,1.63,224,87,38.8%,19,13,68.4%,55,27,49.1%
14,2009,305,4946,1011,4.9,25,12,295,286,477,2890,21,13,5.7,159,505,2056,9,4.1,109,114,863,27,177,29.9,13.0,Own 29.7,2:56,5.87,27.8,1.58,229,93,40.6%,14,10,71.4%,50,25,50.0%
15,2008,204,3926,984,4.0,26,11,245,303,513,2406,11,15,4.3,145,420,1520,6,3.6,80,75,591,20,186,21.0,13.4,Own 30.1,2:31,5.43,21.0,0.99,236,82,34.7%,14,7,50.0%,33,15,45.5%
16,2007,380,5568,1008,5.5,30,10,320,373,575,4012,26,20,6.8,213,416,1556,10,3.7,81,90,670,26,177,37.9,15.3,Own 31.1,2:39,5.89,31.4,1.95,208,96,46.2%,12,4,33.3%,56,27,48.2%
17,2006,373,5462,994,5.5,24,11,313,327,523,3833,28,13,6.9,200,435,1629,14,3.7,88,92,717,25,188,35.6,12.2,Own 31.0,2:26,5.45,29.0,1.96,201,72,35.8%,9,6,66.7%,52,30,57.7%
18,2005,421,5730,1018,5.6,20,6,342,362,538,3820,32,14,6.8,203,459,1910,15,4.2,109,110,920,30,179,41.9,11.2,Own 34.3,2:45,5.87,32.0,2.31,196,84,42.9%,10,3,30.0%,62,35,56.5%
19,2004,374,5140,1004,5.1,32,10,286,324,536,3301,23,22,5.8,172,437,1839,14,4.2,93,103,810,21,202,31.7,15.8,Own 32.1,2:19,5.13,25.4,1.68,219,88,40.2%,12,6,50.0%,55,28,50.9%
20,2003,346,5329,1038,5.1,22,7,313,324,520,3342,26,15,6.0,181,481,1987,12,4.1,101,107,846,31,180,33.3,11.1,Own 29.0,2:45,5.91,29.6,1.84,228,102,44.7%,11,5,45.5%,47,28,59.6%
21,2002,279,5206,1054,4.9,35,13,315,350,591,3476,17,22,5.5,186,426,1730,13,4.1,105,99,884,24,183,24.6,16.9,Own 28.1,2:32,5.86,28.4,1.39,223,87,39.0%,30,11,36.7%,42,19,45.2%
22,2001,226,4800,1071,4.5,37,11,294,322,602,3088,12,26,4.9,176,441,1712,11,3.9,96,103,870,22,195,20.5,17.4,Own 29.4,2:26,5.64,24.5,1.09,243,93,38.3%,23,6,26.1%,46,19,41.3%
23,2000,185,4260,1001,4.3,35,21,254,207,454,1946,6,14,3.8,109,495,2314,13,4.7,119,99,878,26,189,16.4,15.3,Own 28.3,2:18,5.41,22.3,0.89,227,77,33.9%,25,10,40.0%,33,13,39.4%
24,1999,283,5277,1039,5.1,32,14,293,300,548,3226,18,18,5.4,161,442,2051,11,4.6,111,126,1027,21,193,24.4,13.5,Own 29.6,2:29,5.52,27.1,1.33,235,93,39.6%,23,7,30.4%,54,23,42.6%
25,1998,268,4824,979,4.9,22,10,271,307,521,3185,20,12,5.5,148,405,1639,7,4.0,92,69,620,31,,,,,,,,,,,,,,,,,
26,1997,355,5282,1002,5.3,22,13,310,302,504,3316,21,9,6.0,171,452,1966,23,4.3,104,98,877,35,,,,,,,,,,,,,,,,,
