Year,Age,Level,Employer,Role
1940,29,College,West Virginia,Assistant Coach
1941,30,College,West Virginia,Assistant Coach
1942,31,NFL,Brooklyn Dodgers,Assistant Coach
1946,35,NFL,Pittsburgh Steelers,Assistant Coach
1947,36,NFL,Pittsburgh Steelers,Assistant Coach
1948,37,NFL,Pittsburgh Steelers,Backfield Coach
1949,38,NFL,Pittsburgh Steelers,Backfield Coach
1950,39,NFL,Pittsburgh Steelers,Backfield Coach
1951,40,NFL,Pittsburgh Steelers,Backfield Coach
1952,41,NFL,Chicago Cardinals,Assistant Coach
1953,42,NFL,Chicago Cardinals,Assistant Coach
1954,43,NFL,Washington Redskins,Backfield Coach
1955,44,NFL,Washington Redskins,Backfield Coach
1956,45,NFL,Washington Redskins,Backfield Coach
1957,46,NFL,Washington Redskins,Backfield Coach
1958,47,NFL,Washington Redskins,Backfield Coach
1959,48,NFL,Washington Redskins,Head Coach
1960,49,NFL,Washington Redskins,Head Coach
1961,50,NFL,Pittsburgh Steelers,Backfield Coach
1962,51,NFL,Pittsburgh Steelers,Backfield Coach
1963,52,NFL,Pittsburgh Steelers,Backfield Coach
1964,53,NFL,Pittsburgh Steelers,Backfield Coach
1965,54,NFL,Pittsburgh Steelers,Head Coach
1966,55,NFL,Philadelphia Eagles,Offensive Assistant
1967,56,NFL,Philadelphia Eagles,Offensive Assistant
1968,57,NFL,Philadelphia Eagles,Offensive Assistant
