Year,Age,Level,Employer,Role
1951,23,High School,Kenmore HS (Akron OH),Assistant Coach
1952,24,High School,Hower HS (Akron OH),Assistant Coach
1953,25,High School,Hower HS (Akron OH),Head Coach
1954,26,High School,Hower HS (Akron OH),Head Coach
1955,27,High School,Hower HS (Akron OH),Head Coach
1956,28,College,Wooster,Assistant Coach
1957,29,College,Kent State,Assistant Coach
1958,30,College,Kent State,Assistant Coach
1959,31,College,Navy,Assistant Coach
1960,32,College,Navy,Assistant Coach
1961,33,College,Navy,Assistant Coach
1962,34,College,Navy,Assistant Coach
1963,35,College,Navy,Assistant Coach
1964,36,College,Connecticut,Head Coach
1965,37,College,Connecticut,Head Coach
1966,38,NFL,St. Louis Cardinals,Offensive Backs
1967,39,NFL,St. Louis Cardinals,Offensive Backs
1968,40,AFL,Cincinnati Bengals,Offensive Backs
1969,41,College,Navy,Head Coach
1970,42,College,Navy,Head Coach
1971,43,College,Navy,Head Coach
1972,44,College,Navy,Head Coach
1973,45,NFL,Detroit Lions,Offensive Backs
1974,46,NFL,Detroit Lions,Head Coach
1975,47,NFL,Detroit Lions,Head Coach
1976,48,NFL,Detroit Lions,Head Coach
