Year,Age,Level,Employer,Role
1939,30,AA,Newark Bears,Head Coach
1940,31,AFL III,Newark Bears,Head Coach
1941,32,AFL III,Newark Bears,Head Coach
1946,37,AA,Akron Bears,Head Coach
1947,38,NFL,Chicago Bears,Quarterbacks
1948,39,NFL,Chicago Bears,Quarterbacks
1949,40,NFL,Chicago Bears,Quarterbacks
1950,41,NFL,Green Bay Packers,Head Coach
1951,42,NFL,Green Bay Packers,Head Coach
1952,43,NFL,Green Bay Packers,Head Coach
1953,44,NFL,Green Bay Packers,Head Coach
1954,45,NFL,Pittsburgh Steelers,Backfield Coach
