coach,hire_year,last_year,label,confidence,reason,source
Sid Gillman,1973,1974,censor,high,"Sid Gillman retired on top after 1974 (7-7, NFL Coach of the Year); hand-picked successor Bum Phillips",Wikipedia
Paul Brown,1970,1975,censor,high,"Paul Brown retired voluntarily on top after 1975 (11-3); named own successor, stayed on as GM/owner",Wikipedia/Bengals.com
John Ralston,1972,1976,event,high,John Ralston resigned under pressure after 1976 (9-5) following player revolt; stripped of GM title before resigning,Wikipedia
Monte Clark,1976,1976,event,high,Monte Clark fired by 49ers Apr 1977 over personnel-authority dispute with GM Joe Thomas; sat out 1977 before Detroit,Wikipedia
Chuck Knox,1973,1977,event,high,Chuck Knox pre-emptively jumped to Buffalo Jan 1978 to avoid being fired by owner Rosenbloom after Mud Bowl loss,Wikipedia/ESPN
Don Coryell,1973,1977,event,high,Don Coryell forced out after 1977 (7-7) following falling out with owner Bill Bidwill; dismissed Feb 1978,Wikipedia
George Allen,1971,1977,event,high,George Allen fired by Redskins Jan 1978 despite 9-5; contract/budget dispute with Edward Bennett Williams,Washington Post/Wikipedia
Jack Pardee,1975,1977,censor,high,"Jack Pardee voluntarily resigned from Bears after 1977; rejected GM Finks offer to stay, chose Redskins job",Washington Post
Chuck Fairbanks,1973,1978,censor,high,Chuck Fairbanks voluntarily left Patriots after 1978 (11-4) for Univ. of Colorado; Patriots sued to block move,Wikipedia/Boston Globe
John Madden,1970,1978,censor,high,John Madden retired on top after 1978 (9-7) due to ulcer/burnout while successful and wanted,Wikipedia
Larry Wilson,1979,1979,event,low,Larry Wilson INTERIM caretaker: took over Cardinals (2-1) after Bud Wilkinson fired Week 13 1979; returned to front office,Wikipedia
Bum Phillips,1975,1980,event,high,Bum Phillips fired by Oilers owner Bud Adams Dec 31 1980 despite 11-5 (expected extension); Saints job came after,UPI/Wikipedia
Red Miller,1977,1980,event,high,Red Miller fired by new Broncos owner spring 1981 after 8-8 missed playoffs,Wikipedia
Leeman Bennett,1977,1982,event,high,Leeman Bennett fired by Falcons Jan 1983 after strike-shortened 5-4; said he was surprised,UPI/Wikipedia
Mike McCormack,1982,1982,event,low,Mike McCormack INTERIM caretaker: took over Seahawks (4-3) after Patera fired in 1982 strike season; returned to GM role,Wikipedia
Walt Michaels,1977,1982,event,medium,Walt Michaels forced/pressured resignation Feb 1983; ownership gave a package and told him to resign,UPI/Wikipedia
Bart Starr,1975,1983,event,high,Bart Starr fired by Packers Dec 19 1983 day after 8-8 missed playoffs; said he was shocked,UPI/Wikipedia
Ron Meyer,1982,1984,event,high,Ron Meyer fired midway through 1984 by Patriots after firing his DC; replaced by Raymond Berry,Wikipedia
Fred Bruney,1985,1985,event,low,Fred Bruney INTERIM single game: coached final game of 1985 (1-0) after Marion Campbell let go; never permanent hire,Wikipedia
John Mackovic,1983,1986,event,high,"John Mackovic fired by Chiefs days after 1986 despite playoffs, following a player revolt to owner Lamar Hunt",Wikipedia
Bill Walsh,1979,1988,censor,high,Bill Walsh retired Jan 1989 days after winning Super Bowl XXIII due to burnout while wanted; voluntary on top,UPI/ESPN
Marty Schottenheimer,1985,1988,event,high,Marty Schottenheimer forced resignation Browns Dec 1988 after Modell ultimatum to hire an OC/strip role; KC hired after,Wikipedia
Jerry Glanville,1986,1989,event,high,Jerry Glanville fired by Oilers Jan 1990 after season-ending losing skid; Atlanta hired him a week later,Wikipedia
Bill Parcells,1983,1990,censor,high,"Bill Parcells resigned from Giants May 1991 after Super Bowl XXV citing health; voluntary while wanted, took 2 years off",Washington Post
Buddy Ryan,1986,1990,event,high,Buddy Ryan fired by Eagles Jan 1991 after third straight first-round playoff exit,Washington Post
Jerry Burns,1986,1991,censor,medium,"Jerry Burns announced own retirement Dec 1991 at age 64 after 8-8; self-initiated, no pressure, beloved departure",Wikipedia/obits
Dan Reeves,1981,1992,event,high,Dan Reeves fired by Broncos owner Bowlen Dec 1992 amid Elway feud after 8-8,UPI
