rid|label|confidence|reason|source|needs_user
0|censor|high|Sid Gillman retired on top after 1974 (7-7, NFL Coach of the Year); hand-picked successor Bum Phillips|Wikipedia|no
1|censor|high|Paul Brown retired voluntarily on top after 1975 (11-3); named own successor, stayed on as GM/owner|Wikipedia/Bengals.com|no
2|event|high|John Ralston resigned under pressure after 1976 (9-5) following player revolt; stripped of GM title before resigning|Wikipedia|no
3|event|high|Monte Clark fired by 49ers Apr 1977 over personnel-authority dispute with GM Joe Thomas; sat out 1977 before Detroit|Wikipedia|no
4|event|high|Chuck Knox pre-emptively jumped to Buffalo Jan 1978 to avoid being fired by owner Rosenbloom after Mud Bowl loss|Wikipedia/ESPN|no
5|event|high|Don Coryell forced out after 1977 (7-7) following falling out with owner Bill Bidwill; dismissed Feb 1978|Wikipedia|no
6|event|high|George Allen fired by Redskins Jan 1978 despite 9-5; contract/budget dispute with Edward Bennett Williams|Washington Post/Wikipedia|no
7|censor|high|Jack Pardee voluntarily resigned from Bears after 1977; rejected GM Finks offer to stay, chose Redskins job|Washington Post|no
8|censor|high|Chuck Fairbanks voluntarily left Patriots after 1978 (11-4) for Univ. of Colorado; Patriots sued to block move|Wikipedia/Boston Globe|no
9|censor|high|John Madden retired on top after 1978 (9-7) due to ulcer/burnout while successful and wanted|Wikipedia|no
10|event|low|Larry Wilson INTERIM caretaker: took over Cardinals (2-1) after Bud Wilkinson fired Week 13 1979; returned to front office|Wikipedia|yes
11|event|high|Bum Phillips fired by Oilers owner Bud Adams Dec 31 1980 despite 11-5 (expected extension); Saints job came after|UPI/Wikipedia|no
12|event|high|Red Miller fired by new Broncos owner spring 1981 after 8-8 missed playoffs|Wikipedia|no
13|event|high|Leeman Bennett fired by Falcons Jan 1983 after strike-shortened 5-4; said he was surprised|UPI/Wikipedia|no
14|event|low|Mike McCormack INTERIM caretaker: took over Seahawks (4-3) after Patera fired in 1982 strike season; returned to GM role|Wikipedia|yes
15|event|medium|Walt Michaels forced/pressured resignation Feb 1983; ownership gave a package and told him to resign|UPI/Wikipedia|no
16|event|high|Bart Starr fired by Packers Dec 19 1983 day after 8-8 missed playoffs; said he was shocked|UPI/Wikipedia|no
17|event|high|Ron Meyer fired midway through 1984 by Patriots after firing his DC; replaced by Raymond Berry|Wikipedia|no
18|event|low|Fred Bruney INTERIM single game: coached final game of 1985 (1-0) after Marion Campbell let go; never permanent hire|Wikipedia|yes
19|event|high|John Mackovic fired by Chiefs days after 1986 despite playoffs, following a player revolt to owner Lamar Hunt|Wikipedia|no
20|censor|high|Bill Walsh retired Jan 1989 days after winning Super Bowl XXIII due to burnout while wanted; voluntary on top|UPI/ESPN|no
21|event|high|Marty Schottenheimer forced resignation Browns Dec 1988 after Modell ultimatum to hire an OC/strip role; KC hired after|Wikipedia|no
22|event|high|Jerry Glanville fired by Oilers Jan 1990 after season-ending losing skid; Atlanta hired him a week later|Wikipedia|no
23|censor|high|Bill Parcells resigned from Giants May 1991 after Super Bowl XXV citing health; voluntary while wanted, took 2 years off|Washington Post|no
24|event|high|Buddy Ryan fired by Eagles Jan 1991 after third straight first-round playoff exit|Washington Post|no
25|censor|medium|Jerry Burns announced own retirement Dec 1991 at age 64 after 8-8; self-initiated, no pressure, beloved departure|Wikipedia/obits|no
26|event|high|Dan Reeves fired by Broncos owner Bowlen Dec 1992 amid Elway feud after 8-8|UPI|no
27|censor|high|Joe Gibbs retired March 1993 for health/family; voluntary, owner unaware it was coming, team wanted him|Washington Post|no
28|event|high|Bruce Coslet fired by Jets Jan 1994 (never a winning season); GM cited philosophy disagreement|Seattle Times|no
29|event|medium|Jimmy Johnson and Cowboys mutually parted March 1994 after power struggle with Jerry Jones; effectively forced out|ESPN|no
30|event|high|Art Shell fired by Raiders owner Al Davis after 1994 (9-7) missed playoffs; Davis later regretted it|ESPN/Wikipedia|no
31|event|medium|Don Shula resigned after 1995 amid heavy fan/media pressure with Jimmy Johnson waiting; team moved on, hired Johnson days later|Baltimore Sun|no
32|event|medium|Ted Marchibroda left Colts Feb 1996 after team rejected his 2-yr extension demand (offered 1) and promoted a replacement; Ravens 6 days later|Baltimore Sun|yes
33|censor|high|Bill Parcells resigned from Patriots after 1996 Super Bowl run in personnel-control dispute to take Jets job; Kraft wanted him|SI/ESPN|no
34|censor|high|Bobby Ross voluntarily left Chargers after 1996 for Lions HC job with more control/money; Chargers wanted to retain him|Wikipedia/CBS|no
35|event|high|George Seifert forced out after 1996; 49ers offered no extension, gave ultimatum to accept demotion behind named successor Mariucci|Washington Post|no
