Year,Age,Level,Employer,Role
1961,27,Junior College,Fresno CC,Defensive Backs
1962,28,Junior College,Fresno CC,Defensive Backs
1963,29,Junior College,Fresno CC,Defensive Backs
1964,30,Junior College,Fresno CC,Defensive Backs
1965,31,College,Cal State Hayward,Head Coach
1966,32,College,Fresno State,Head Coach
1967,33,College,Fresno State,Head Coach
1968,34,College,Fresno State,Head Coach
1969,35,College,Fresno State,Head Coach
1970,36,College,Fresno State,Head Coach
1971,37,College,Fresno State,Head Coach
1972,38,College,Fresno State,Head Coach
1973,39,College (NCAA D-I),San Jose State,Head Coach
1974,40,College (NCAA D-I),San Jose State,Head Coach
1975,41,College (NCAA D-I),San Jose State,Head Coach
1976,42,College (NCAA D-I),Michigan State,Head Coach
1977,43,College (NCAA D-I),Michigan State,Head Coach
1978,44,College (FBS),Michigan State,Head Coach
1979,45,College (FBS),Michigan State,Head Coach
1980,46,College (FBS),Arizona State,Head Coach
1981,47,College (FBS),Arizona State,Head Coach
1982,48,College (FBS),Arizona State,Head Coach
1983,49,College (FBS),Arizona State,Head Coach
1984,50,College (FBS),Arizona State,Head Coach
1985,51,NFL,Detroit Lions,Head Coach
1986,52,NFL,Detroit Lions,Head Coach
1987,53,NFL,Detroit Lions,Head Coach
1988,54,NFL,Detroit Lions,Head Coach
1991,57,CFL,Winnipeg Blue Bombers,Head Coach
