Year,Age,Level,Employer,Role
2003,20,College (FBS),Louisville,Student Assistant
2004,21,College (FBS),Louisville,Student Assistant
2005,22,College (FBS),Louisville,Student Assistant
2006,23,College (FBS),Louisville,Graduate Assistant
2007,24,NFL,Atlanta Falcons,Defensive Quality Control
2009,26,NFL,St. Louis Rams,College Scout
2010,27,NFL,St. Louis Rams,Professional Scout
2011,28,NFL,St. Louis Rams,Professional Scout
2012,29,NFL,Tennessee Titans,Defensive Quality Control
2013,30,NFL,Tennessee Titans,Defensive Quality Control
2014,31,NFL,Minnesota Vikings,Asst. Defensive Backs
2015,32,NFL,Minnesota Vikings,Asst. Defensive Backs
2016,33,NFL,Minnesota Vikings,Asst. Defensive Backs
2017,34,NFL,Minnesota Vikings,Asst. Defensive Backs
2018,35,NFL,Indianapolis Colts,Cornerbacks
2019,36,NFL,Indianapolis Colts,Cornerbacks
2020,37,NFL,Indianapolis Colts,Cornerbacks
2021,38,NFL,Philadelphia Eagles,Defensive Coordinator
2022,39,NFL,Philadelphia Eagles,Defensive Coordinator
2023,40,NFL,Arizona Cardinals,Head Coach
2024,41,NFL,Arizona Cardinals,Head Coach
2025,42,NFL,Arizona Cardinals,Head Coach
