Year,Age,Level,Employer,Role
1973,22,High School,Bullard High School (Fresno CA),Assistant Coach
1974,23,College,San Diego Mesa College,Assistant Coach
1975,24,College,San Jose State,Assistant Coach
1976,25,College,San Diego Mesa College,Assistant Coach
1977,26,College,San Diego Mesa College,Assistant Coach
1978,27,College,Santa Ana College,Assistant Coach
1979,28,College,Fresno State,Assistant Coach
1980,29,College,Pacific,Assistant Coach
1981,30,College,Pacific,Assistant Coach
1982,31,College,Minnesota,Assistant Coach
1983,32,College,Arizona State,Quarterbacks/Receivers
1984,33,College,Arizona State,Offensive Coordinator
1986,35,College,Arizona State,Quarterbacks/Receivers
1987,36,College,Arizona State,Quarterbacks/Receivers
1988,37,College,Arizona State,Offensive Coordinator
1989,38,College,Arizona State,Offensive Coordinator
1990,39,College,Arizona State,Offensive Coordinator
1991,40,College,Arizona State,Offensive Coordinator
1992,41,NFL,Los Angeles Rams,Offensive Assistant
1993,42,NFL,Los Angeles Rams,Offensive Assistant
1994,43,NFL,Los Angeles Rams,Quarterbacks
1995,44,NFL,St. Louis Rams,Wide Receivers
1996,45,NFL,St. Louis Rams,Wide Receivers
1997,46,NFL,Washington Redskins,Quarterbacks
1998,47,NFL,Washington Redskins,Quarterbacks
1999,48,NFL,St. Louis Rams,Offensive Coordinator
2000,49,NFL,St. Louis Rams,Head Coach
2001,50,NFL,St. Louis Rams,Head Coach
2002,51,NFL,St. Louis Rams,Head Coach
2003,52,NFL,St. Louis Rams,Head Coach
2004,53,NFL,St. Louis Rams,Head Coach
2005,54,NFL,St. Louis Rams,Head Coach
2006,55,NFL,Detroit Lions,Offensive Coordinator
2007,56,NFL,Detroit Lions,Offensive Coordinator
2008,57,NFL,San Francisco 49ers,Offensive Coordinator
2010,59,NFL,Chicago Bears,Offensive Coordinator
2011,60,NFL,Chicago Bears,Offensive Coordinator
2019,68,AAF,San Diego Fleet,Head Coach
