Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1981,NOR,DC,28,26,22,27,23,25,28,23,10,7,13,8,17,24,28,28,23,24,11,24,21,12,11,17,10,14,5,20,23,21,26
1982,NOR,DC,28,15,19,21,13,20,26,17,2,6,13,14,14,25,25,23,18,20,5,8,14,7,10,12,13,3,3,8,13,24,16
1983,NOR,DC,28,13,20,16,10,23,17,20,4,6,5,13,23,25,26,25,20,25,2,12,13,8,11,5,19,17,14,1,9,12,1
1984,NOR,DC,28,17,28,22,15,20,20,22,7,8,26,10,5,23,24,13,25,24,4,19,28,25,26,14,25,27,1,1,16,25,4
1985,NOR,HC,28,22,11,23,26,27,21,11,22,19,28,17,6,17,24,15,16,27,24,22,14,18,19,19,20,15,20,23,23,15,21
,NOR,DC,28,22,11,23,26,27,21,11,22,19,28,17,6,17,24,15,16,27,24,22,14,18,19,19,20,15,20,23,23,15,21
1986,PHI,DC,28,20,7,22,25,25,24,3,10,9,25,12,2,17,26,16,7,28,17,12,14,7,19,15,24,20,17,14,11,9,10
1987,PHI,DC,28,15,2,20,17,10,12,14,8,9,17,15,20,4,14,6,6,25,23,25,1,5,9,20,13,1,28,28,26,10,13
1988,PHI,DC,28,5,2,7,19,10,5,1,19,17,8,8,2,4,8,6,7,22,27,14,2,11,6,6,3,22,28,28,20,2,26
1989,DEN,DC,28,3,3,2,7,15,8,9,3,6,10,18,5,22,23,12,15,16,3,1,2,6,6,7,7,2,11,3,1,9,3
1990,DEN,DC,28,23,24,19,16,8,16,13,12,14,4,13,10,9,7,21,13,16,20,23,25,17,17,20,19,13,13,21,19,26,23
1991,DEN,DC,28,3,6,7,8,12,12,6,4,8,7,13,7,24,17,20,4,15,5,3,11,9,19,5,27,24,8,3,1,4,4
1992,DEN,DC,28,15,25,19,24,21,22,27,21,25,13,21,14,17,16,16,28,18,22,19,18,24,23,9,15,7,10,18,21,21,18
1993,DEN,HC,28,9,11,4,9,5,3,8,9,18,7,18,24,8,4,3,3,6,19,10,12,3,4,1,5,16,23,27,20,12,22
1994,DEN,HC,28,17,22,20,19,6,10,16,16,23,3,24,25,5,6,18,4,17,28,25,20,10,17,17,25,7,20,28,27,22,28
1995,BUF,DC,30,6,11,13,16,20,13,8,1,6,19,18,9,25,21,13,8,17,13,12,21,20,11,25,7,23,22,16,1,12,7
1996,BUF,DC,30,6,25,7,9,16,15,26,1,8,10,27,14,25,17,20,28,11,9,6,18,23,14,14,1,7,26,8,2,21,3
1997,BUF,DC,30,22,28,28,16,25,29,28,23,14,16,9,26,11,25,26,29,30,9,23,26,23,15,10,6,28,9,12,8,15,11
1998,BUF,HC,30,8,3,8,6,6,7,3,1,3,11,12,3,28,12,6,8,7,6,15,11,3,5,11,15,11,18,14,25,15,11
1999,BUF,HC,31,5,23,3,2,11,16,9,2,8,15,19,11,24,19,15,11,11,1,2,28,9,4,10,3,25,7,1,2,26,3
2000,BUF,HC,31,17,10,22,3,9,20,4,12,13,21,18,17,14,11,15,1,14,3,18,16,19,6,16,4,13,6,4,11,18,10
2002,ATL,DC,32,10,5,4,16,14,5,11,2,4,4,9,22,25,23,24,7,10,19,8,2,17,23,6,28,8,8,16,18,3,17
2003,ATL,HC,32,23,14,28,31,29,20,20,19,14,7,8,10,28,31,28,26,30,32,30,11,27,29,30,27,3,13,32,30,14,31
,ATL,DC,32,23,14,28,31,29,20,20,19,14,7,8,10,28,31,28,26,30,32,30,11,27,29,30,27,3,13,32,30,14,31
2004,SDG,DC,32,4,3,3,13,10,3,3,4,6,2,16,8,28,16,5,1,6,18,11,8,1,3,21,6,22,32,31,11,3,22
2005,SDG,DC,32,14,25,7,6,10,5,17,12,9,4,6,14,13,12,4,17,9,13,13,27,3,1,18,3,23,28,28,17,26,18
2006,SDG,DC,32,1,3,1,2,4,1,1,2,2,1,4,2,25,16,8,2,6,10,7,15,3,7,15,20,14,27,13,12,17,3
2007,DAL,HC,32,2,8,4,4,3,2,7,21,17,10,10,1,18,4,2,21,2,9,13,15,5,6,17,13,18,29,13,8,6,7
2008,DAL,HC,32,12,30,19,7,13,18,31,25,21,22,12,26,8,9,4,29,11,8,20,20,7,12,8,20,5,14,5,10,30,5
2009,DAL,HC,32,5,13,8,2,2,14,4,17,7,15,2,11,13,6,13,3,5,9,2,27,2,4,4,9,17,26,20,10,26,10
2010,DAL,HC,32,20,13,21,12,7,7,20,15,16,21,15,17,9,6,7,20,7,23,31,8,7,12,12,18,17,20,26,31,7,28
2011,HOU,DC,32,7,7,6,3,13,10,6,1,2,3,8,22,30,18,18,3,8,2,4,12,4,4,3,11,14,16,3,6,13,2
2012,HOU,DC,32,3,7,8,6,7,8,6,4,8,4,16,1,18,11,18,10,13,7,9,9,5,7,1,9,4,24,16,26,14,8
2013,HOU,HC,32,32,32,31,6,11,31,26,22,20,28,15,9,6,15,25,28,25,7,24,32,24,23,11,22,31,1,3,21,32,13
,HOU,DC,32,32,32,31,6,11,31,26,22,20,28,15,9,6,15,25,28,25,7,24,32,24,23,11,22,31,1,3,21,32,13
2015,DEN,DC,32,3,19,10,3,16,19,29,17,17,12,13,7,13,14,28,32,21,1,4,8,13,3,10,1,4,18,1,3,13,1
2016,DEN,DC,32,11,13,9,14,27,22,21,15,27,20,28,30,17,21,21,12,22,4,4,7,30,28,18,18,4,14,1,1,12,1
2017,LAR,DC,32,5,9,3,10,10,1,13,9,8,5,7,30,24,10,6,1,7,19,12,5,11,28,27,30,11,19,13,10,6,9
