,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,375,5647,1030,5.5,24,8,329,413,593,4020,21,16,6.2,211,383,1627,17,4.2,88,119,987,30,182,35.2,9.9,Own 27.8,2:42,5.78,30.4,1.89,210,79,37.6%,19,10,52.6%,42,24,57.1%
1,2023,364,5490,995,5.5,17,5,317,371,575,3910,23,12,6.4,189,382,1580,11,4.1,93,111,954,35,178,38.8,8.4,Own 28.7,2:34,5.83,30.8,1.93,207,75,36.2%,16,6,37.5%,54,26,48.1%
2,2022,407,5976,1044,5.7,23,11,346,399,573,3934,30,12,6.4,206,425,2042,12,4.8,106,106,854,34,187,40.6,11.2,Own 29.5,2:38,5.78,31.9,2.12,201,76,37.8%,21,12,57.1%,55,26,47.3%
3,2021,395,5506,954,5.8,13,6,302,324,495,3432,30,7,6.3,166,413,2074,18,5.0,106,97,803,30,187,34.8,7.0,Own 29.6,2:19,5.22,29.3,2.07,193,72,37.3%,11,4,36.4%,48,31,64.6%
4,2020,459,5912,1022,5.8,18,5,356,388,563,3941,40,13,6.5,216,411,1971,15,4.8,111,84,662,29,178,44.4,10.1,Own 31.1,2:42,5.88,33.1,2.57,189,76,40.2%,14,8,57.1%,56,41,73.2%
5,2019,405,5991,1046,5.7,20,14,341,341,517,3791,31,6,6.7,190,481,2200,15,4.6,121,109,882,30,189,36.5,10.6,Own 30.2,2:40,5.68,31.6,2.07,200,79,39.5%,14,7,50.0%,60,38,63.3%
6,2018,428,5653,1012,5.6,11,4,329,280,427,3093,35,7,6.5,156,534,2560,15,4.8,133,111,959,40,181,39.8,6.1,Own 27.8,2:47,5.77,31.1,2.30,208,81,38.9%,14,11,78.6%,55,36,65.5%
7,2017,366,5286,1007,5.2,17,5,299,340,555,3657,34,12,6.1,183,409,1629,4,4.0,85,148,1342,31,197,30.5,8.6,Own 28.5,2:23,5.27,26.8,1.71,212,79,37.3,9,5,55.6,45,25,55.6
8,2016,354,5715,1012,5.6,18,6,313,368,567,4124,23,12,6.8,203,403,1591,13,3.9,85,117,970,25,185,37.3,9.7,Own 29.5,2:36,5.64,30.8,1.90,207,79,38.2%,11,4,36.4%,56,26,46.4%
9,2015,423,6058,1035,5.9,16,8,335,333,489,3790,34,8,7.1,190,500,2268,10,4.5,128,117,1007,17,174,42.0,8.6,Own 29.2,2:58,6.13,34.6,2.27,213,99,46.5%,9,8,88.9%,49,27,55.1%
