,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2024,Division,Sat,"January 18, 2025",boxscore,W,,,Houston Texans,23,14,14,212,162,50,,18,336,187,149,,,,
1,2024,ConfChamp,Sun,"January 26, 2025",boxscore,W,,,Buffalo Bills,32,29,28,368,233,135,1,22,374,227,147,,,,
2,2024,SuperBowl,Sun,"February 9, 2025",boxscore,L,,@,Philadelphia Eagles,22,40,12,275,226,49,3,21,345,210,135,1,,,
3,2023,WildCard,Sat,"January 13, 2024",boxscore,W,,,Miami Dolphins,26,7,25,409,262,147,1,13,264,188,76,1,,,
4,2023,Division,Sun,"January 21, 2024",boxscore,W,,@,Buffalo Bills,27,24,21,361,215,146,1,27,368,186,182,,,,
5,2023,ConfChamp,Sun,"January 28, 2024",boxscore,W,,@,Baltimore Ravens,17,10,22,319,230,89,,16,336,255,81,3,,,
6,2023,SuperBowl,Sun,"February 11, 2024",boxscore,W,OT,N,San Francisco 49ers,25,22,24,455,325,130,2,23,382,272,110,2,,,
7,2022,Division,Sat,"January 21, 2023",boxscore,W,,,Jacksonville Jaguars,27,20,23,362,218,144,,20,349,205,144,2,,,
8,2022,ConfChamp,Sun,"January 29, 2023",boxscore,W,,,Cincinnati Bengals,23,20,23,357,315,42,1,18,309,238,71,2,,,
9,2022,SuperBowl,Sun,"February 12, 2023",boxscore,W,,N,Philadelphia Eagles,38,35,21,340,182,158,,25,417,302,115,1,,,
10,2021,WildCard,Sun,"January 16, 2022",boxscore,W,,,Pittsburgh Steelers,42,21,26,478,372,106,2,19,257,201,56,1,,,
11,2021,Division,Sun,"January 23, 2022",boxscore,W,OT,,Buffalo Bills,42,36,30,552,370,182,,23,422,313,109,,,,
12,2021,ConfChamp,Sun,"January 30, 2022",boxscore,L,OT,,Cincinnati Bengals,24,27,24,375,236,139,2,21,359,243,116,1,,,
13,2020,Division,Sun,"January 17, 2021",boxscore,W,,,Cleveland Browns,22,17,24,438,315,123,1,21,308,196,112,2,,,
14,2020,ConfChamp,Sun,"January 24, 2021",boxscore,W,,,Buffalo Bills,38,24,29,439,325,114,1,24,363,234,129,1,,,
15,2020,SuperBowl,Sun,"February 7, 2021",boxscore,L,,N,Tampa Bay Buccaneers,9,31,22,350,243,107,2,26,340,195,145,,,,
16,2019,Division,Sun,"January 12, 2020",boxscore,W,,,Houston Texans,51,31,29,434,316,118,1,23,442,348,94,1,,,
17,2019,ConfChamp,Sun,"January 19, 2020",boxscore,W,,,Tennessee Titans,35,24,27,404,292,112,,20,295,210,85,,,,
18,2019,SuperBowl,Sun,"February 2, 2020",boxscore,W,,N,San Francisco 49ers,31,20,26,397,268,129,2,21,351,210,141,2,,,
19,2018,Division,Sat,"January 12, 2019",boxscore,W,,,Indianapolis Colts,31,13,29,433,253,180,1,15,266,179,87,1,,,
20,2018,ConfChamp,Sun,"January 20, 2019",boxscore,L,OT,,New England Patriots,31,37,18,290,249,41,,36,524,348,176,2,,,
21,2017,WildCard,Sat,"January 6, 2018",boxscore,L,,,Tennessee Titans,21,22,19,325,256,69,,23,397,195,202,2,,,
22,2016,Division,Sun,"January 15, 2017",boxscore,L,,,Pittsburgh Steelers,16,18,16,227,166,61,2,20,389,218,171,1,,,
23,2015,WildCard,Sat,"January 9, 2016",boxscore,W,,@,Houston Texans,30,0,18,314,173,141,1,14,226,112,114,5,,,
24,2015,Division,Sat,"January 16, 2016",boxscore,L,,@,New England Patriots,20,27,27,378,243,135,1,21,340,302,38,,,,
25,2013,WildCard,Sat,"January 4, 2014",boxscore,L,,@,Indianapolis Colts,44,45,30,513,363,150,1,28,536,436,100,4,,,
26,2010,WildCard,Sun,"January 9, 2011",boxscore,L,,,Baltimore Ravens,7,30,8,161,53,108,5,26,390,248,142,2,,,
27,2006,WildCard,Sat,"January 6, 2007",boxscore,L,,@,Indianapolis Colts,8,23,7,126,82,44,3,28,435,247,188,3,,,
28,2003,Division,Sun,"January 11, 2004",boxscore,L,,,Indianapolis Colts,31,38,24,408,212,196,1,27,434,292,142,,,,
29,1997,Division,Sun,"January 4, 1998",boxscore,L,,,Denver Broncos,10,14,18,303,226,77,,16,272,163,109,2,,,
30,1995,Division,Sun,"January 7, 1996",boxscore,L,,,Indianapolis Colts,7,10,15,281,152,129,4,16,249,102,147,1,,,
31,1994,WildCard,Sat,"December 31, 1994",boxscore,L,,@,Miami Dolphins,17,27,24,414,314,100,2,22,381,249,132,,,,
32,1993,WildCard,Sat,"January 8, 1994",boxscore,W,OT,,Pittsburgh Steelers,27,24,28,401,276,125,,21,369,272,97,,,,
33,1993,Division,Sun,"January 16, 1994",boxscore,W,,@,Houston Oilers,28,20,18,354,283,71,2,19,277,238,39,3,,,
34,1993,ConfChamp,Sun,"January 23, 1994",boxscore,L,,@,Buffalo Bills,13,30,22,338,286,52,2,30,389,160,229,1,,,
35,1992,WildCard,Sat,"January 2, 1993",boxscore,L,,@,San Diego Chargers,0,17,17,251,190,61,3,18,342,150,192,1,,,
36,1991,WildCard,Sat,"December 28, 1991",boxscore,W,,,Los Angeles Raiders,10,6,16,204,73,131,2,16,276,124,152,6,,,
37,1991,Division,Sun,"January 5, 1992",boxscore,L,,@,Buffalo Bills,14,37,14,213,136,77,4,29,448,268,180,3,,,
38,1990,WildCard,Sat,"January 5, 1991",boxscore,L,,@,Miami Dolphins,16,17,16,367,264,103,1,23,311,213,98,2,,,
39,1986,WildCard,Sun,"December 28, 1986",boxscore,L,,@,New York Jets,15,35,15,241,174,67,3,19,306,141,165,,,,
40,1971,Division,Sat,"December 25, 1971",boxscore,L,OT,,Miami Dolphins,24,27,23,451,238,213,4,22,407,263,144,2,,,
41,1969,Division,Sat,"December 20, 1969",boxscore,W,,@,New York Jets,13,6,14,276,177,99,,19,240,153,87,4,,,
42,1969,ConfChamp,Sun,"January 4, 1970",boxscore,W,,@,Oakland Raiders,17,7,13,207,121,86,4,18,233,154,79,4,,,
43,1969,SuperBowl,Sun,"January 11, 1970",boxscore,W,,N,Minnesota Vikings,23,7,18,273,122,151,1,13,239,172,67,5,,,
44,1968,Division,Sun,"December 22, 1968",boxscore,L,,@,Oakland Raiders,6,41,13,312,242,70,4,22,454,336,118,,,,
45,1966,ConfChamp,Sun,"January 1, 1967",boxscore,W,,@,Buffalo Bills,31,7,14,277,164,113,,9,255,215,40,4,,,
46,1966,SuperBowl,Sun,"January 15, 1967",boxscore,L,,N,Green Bay Packers,10,35,17,239,167,72,1,21,358,228,130,1,,,
47,1962,Championship,Sun,"December 23, 1962",boxscore,W,OT,@,Houston Oilers,20,17,19,237,38,199,1,21,359,261,98,5,,,
