Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2024,WildCard,Sun,"January 12, 2025",boxscore,W,,,Green Bay Packers,22,10,16,290,121,169,,17,302,195,107,4,,,
2024,Division,Sun,"January 19, 2025",boxscore,W,,,Los Angeles Rams,28,22,16,350,65,285,,18,402,291,111,2,,,
2024,ConfChamp,Sun,"January 26, 2025",boxscore,W,,,Washington Commanders,55,23,28,459,230,229,,22,350,251,99,4,,,
2024,SuperBowl,Sun,"February 9, 2025",boxscore,W,,N,Kansas City Chiefs,40,22,21,345,210,135,1,12,275,226,49,3,,,
2023,WildCard,Mon,"January 15, 2024",boxscore,L,,@,Tampa Bay Buccaneers,9,32,13,276,234,42,,23,426,307,119,,,,
2022,Division,Sat,"January 21, 2023",boxscore,W,,,New York Giants,38,7,26,416,148,268,,13,227,109,118,1,,,
2022,ConfChamp,Sun,"January 29, 2023",boxscore,W,,,San Francisco 49ers,31,7,25,269,121,148,,11,164,83,81,3,,,
2022,SuperBowl,Sun,"February 12, 2023",boxscore,L,,N,Kansas City Chiefs,35,38,25,417,302,115,1,21,340,182,158,,,,
2021,WildCard,Sun,"January 16, 2022",boxscore,L,,@,Tampa Bay Buccaneers,15,31,14,339,244,95,3,23,349,243,106,,,,
2019,WildCard,Sun,"January 5, 2020",boxscore,L,,,Seattle Seahawks,9,17,20,282,162,120,,16,382,318,64,,,,
2018,WildCard,Sun,"January 6, 2019",boxscore,W,,@,Chicago Bears,16,15,21,300,258,42,2,17,356,291,65,,,,
2018,Division,Sun,"January 13, 2019",boxscore,L,,@,New Orleans Saints,14,20,15,250,201,49,2,25,420,283,137,1,,,
2017,Division,Sat,"January 13, 2018",boxscore,W,,,Atlanta Falcons,15,10,22,334,238,96,2,19,281,195,86,,,,
2017,ConfChamp,Sun,"January 21, 2018",boxscore,W,,,Minnesota Vikings,38,7,27,456,346,110,,22,333,263,70,3,,,
2017,SuperBowl,Sun,"February 4, 2018",boxscore,W,,N,New England Patriots,41,33,25,538,374,164,1,29,613,500,113,1,,,
2013,WildCard,Sat,"January 4, 2014",boxscore,L,,,New Orleans Saints,24,26,17,256,176,80,,26,434,249,185,2,,,
