,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2011,49,CAR,NFL,16,6,10,0,.375,-1.3,2.6,-3.9,,,,,3,3,0,
1,2012,50,CAR,NFL,16,7,9,0,.438,0.8,-0.5,1.3,,,,,2,2,2,
2,2013,51,CAR,NFL,16,12,4,0,.750,9.2,0.6,8.6,1,0,1,.000,1,7,1,
3,2014,52,CAR,NFL,16,7,8,1,.469,-3.1,-2.4,-0.7,2,1,1,.500,1,7,3,
4,2015,53,CAR,NFL,16,15,1,0,.938,8.1,6.0,2.1,3,2,1,.667,1,17,10,NFC Champions
5,2016,54,CAR,NFL,16,6,10,0,.375,-1.0,-0.2,-0.8,,,,,4,5,4,
6,2017,55,CAR,NFL,16,11,5,0,.688,4.3,1.7,2.7,1,0,1,.000,2,6,3,
7,2018,56,CAR,NFL,16,7,9,0,.438,0.9,0.1,0.8,,,,,3,7,4,
8,2019,57,CAR,NFL,12,5,7,0,.417,-7.0,-1.9,-5.1,,,,,4,4,1,Fired after Week 13
9,2020,58,WAS,NFL,16,7,9,0,.438,-0.8,-4.1,3.2,1,0,1,.000,1,7,4,
