,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,128,2348,452,5.2,9,5,141,173,245,1653,5,4,6.4,80,192,695,8,3.6,48,46,373,13,73,34.2,11.0,Own 28.0,2:55,6.4,32.2,1.74,97,43,44.3,6,1,16.7,24,11,45.8
1,2022,420,6452,1134,5.7,27,11,372,336,522,3558,15,16,6.3,196,573,2894,25,5.1,150,95,773,26,193,35.2,11.9,Own 27.1,2:49,6.0,33.2,1.89,221,86,38.9%,21,13,61.9%,55,31,56.4%
2,2021,452,6535,1101,5.9,25,8,382,363,546,4117,27,17,7.1,218,523,2418,25,4.6,135,89,790,29,189,42.9,12.2,Own 29.6,2:51,6.0,34.4,2.41,206,89,43.2%,19,11,57.9%,66,41,62.1%
3,2020,464,6668,1068,6.2,9,6,390,377,541,4104,30,3,7.1,222,493,2564,24,5.2,145,76,678,23,168,47.0,5.4,Own 27.1,3:08,6.5,39.7,2.70,202,96,47.5%,21,11,52.4%,63,40,63.5%
4,2019,385,6213,1020,6.1,22,10,346,375,586,4276,33,12,6.9,220,403,1937,12,4.8,98,109,859,28,170,38.8,12.9,Own 26.0,2:49,6.2,36.5,2.22,202,98,48.5%,16,7,43.8%,49,35,71.4%
5,2018,316,5490,1022,5.4,29,14,298,385,594,4167,28,15,6.5,200,385,1323,8,3.4,76,117,945,22,187,31.6,13.9,Own 25.5,2:36,5.6,29.4,1.72,227,91,40.1%,20,12,60.0%,41,29,70.7%
6,2017,436,5546,973,5.7,16,5,301,321,501,3799,30,11,7.1,176,440,1747,14,4.0,88,122,1128,37,194,39.7,7.7,Own 29.7,2:28,5.2,28.6,2.10,201,71,35.3,8,5,62.5,54,33,61.1
7,2016,328,4821,950,5.1,17,6,272,319,522,3226,20,11,5.8,157,397,1595,13,4.0,87,114,949,28,186,31.7,9.1,Own 30.3,2:29,5.3,25.8,1.68,213,82,38.5%,13,3,23.1%,44,23,52.3%
8,2015,313,4963,986,5.0,25,11,281,326,553,3366,24,14,5.6,173,388,1597,10,4.1,79,116,991,29,198,27.3,11.1,Own 29.3,2:22,5.1,25.0,1.51,214,61,28.5%,12,7,58.3%,39,22,56.4%
9,2014,307,5571,1077,5.2,34,14,329,363,619,3890,28,20,5.9,206,420,1681,6,4.0,89,99,786,34,199,26.6,16.1,Own 27.6,2:22,5.5,27.8,1.48,218,74,33.9%,17,6,35.3%,46,22,47.8%
10,2013,428,5081,970,5.2,11,4,282,287,484,3123,29,7,6.1,158,454,1958,11,4.3,88,102,809,36,194,36.1,5.7,Own 28.9,2:26,5.2,26.1,1.91,217,75,34.6%,8,3,37.5%,48,32,66.7%
11,2012,331,5172,1015,5.1,29,14,292,308,581,3612,29,15,5.8,167,390,1560,5,4.0,94,90,863,31,200,28.0,14.5,Own 27.8,2:13,5.2,26.0,1.54,215,71,33.0%,16,5,31.3%,40,20,50.0%
12,2011,278,4571,960,4.8,27,10,270,279,538,3035,18,17,5.2,166,378,1536,8,4.1,73,88,686,31,188,29.8,13.8,Own 27.9,2:20,5.3,24.3,1.45,212,76,35.8%,13,6,46.2%,44,21,47.7%
