Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1941,PHI,HC,10,8,8,8,7,8,8,8,9,10,9,10,8,5,5,5,7,7,8,8,5,8,8,8,8,8,8,7,8,5,3
1942,PHI,HC,10,9,5,8,5,5,7,4,6,8,7,10,6,6,6,6,3,3,6,9,6,9,9,10,6,5,1,5,7,7,8
1943,PHI,HC,10,5,4,5,3,4,4,5,1,1,1,2,7,7,5,4,4,4,1,6,4,1,1,8,1,6,5,3,3,4,4
1944,PHI,HC,11,2,4,1,2,5,1,5,1,1,1,1,10,9,9,6,1,3,1,2,5,2,1,2,1,10,8,7,7,2,5
1945,PHI,HC,10,3,3,1,3,4,1,3,3,3,1,3,5,8,8,7,3,5,1,2,7,1,1,2,2,8,5,2,5,5,3
1946,PHI,HC,10,4,5,6,4,6,5,9,4,8,6,9,9,7,5,5,5,2,2,7,5,6,3,8,1,5,4,4,5,2,4
1947,PHI,HC,10,2,4,3,6,6,2,2,3,3,1,4,3,9,6,4,2,3,4,5,8,1,1,5,2,8,9,7,5,8,6
1948,PHI,HC,10,3,4,2,1,2,2,2,3,3,3,2,5,5,5,2,2,3,2,2,8,1,1,1,1,7,9,3,3,5,2
1949,PHI,HC,10,1,1,1,1,2,1,1,1,1,1,3,3,9,6,5,1,3,1,1,4,1,2,1,2,7,2,1,2,4,1
1950,PHI,HC,13,6,4,4,2,5,7,5,1,2,9,11,4,10,8,6,8,7,3,1,4,2,5,1,7,6,2,3,2,2,5
