Year,Age,Level,Employer,Role
1988,25,College (FBS),San Diego State,Offensive Assistant
1989,26,College (FBS),San Diego State,Offensive Assistant
1990,27,College (FCS),Indiana State,Running Backs
1991,28,College (FCS),Indiana State,Running Backs
1992,29,College (FBS),San Diego State,Running Backs
1993,30,College (FBS),San Diego State,Running Backs
1994,31,College (FBS),Miami (OH),Offensive Coordinator
1995,32,College (FBS),Miami (OH),Offensive Coordinator
1996,33,College (FBS),Illinois,Quarterbacks
1997,34,NFL,Philadelphia Eagles,Quarterbacks
1998,35,NFL,Philadelphia Eagles,Quarterbacks
1999,36,NFL,New York Giants,Quarterbacks
2000,37,NFL,New York Giants,Offensive Coordinator
2001,38,NFL,New York Giants,Offensive Coordinator
2002,39,NFL,New York Giants,Offensive Coordinator
2003,40,NFL,Dallas Cowboys,Asst. Head Coach/Quarterbacks
2004,41,NFL,Dallas Cowboys,Asst. Head Coach/Quarterbacks
2005,42,NFL,Dallas Cowboys,Asst. Head Coach/Passing Game Coordinator
2006,43,NFL,New Orleans Saints,Head Coach
2007,44,NFL,New Orleans Saints,Head Coach
2008,45,NFL,New Orleans Saints,Head Coach
2009,46,NFL,New Orleans Saints,Head Coach
2010,47,NFL,New Orleans Saints,Head Coach
2011,48,NFL,New Orleans Saints,Head Coach
2012,49,6th Grade,Liberty Christian (TX),Offensive Coordinator
2012,49,NFL,New Orleans Saints,Head Coach (Suspended for 2012 season)
2013,50,NFL,New Orleans Saints,Head Coach
2014,51,NFL,New Orleans Saints,Head Coach
2015,52,NFL,New Orleans Saints,Head Coach
2016,53,NFL,New Orleans Saints,Head Coach
2017,54,NFL,New Orleans Saints,Head Coach
2018,55,NFL,New Orleans Saints,Head Coach
2019,56,NFL,New Orleans Saints,Head Coach
2020,57,NFL,New Orleans Saints,Head Coach
2021,58,NFL,New Orleans Saints,Head Coach
2023,60,NFL,Denver Broncos,Head Coach
2024,61,NFL,Denver Broncos,Head Coach
2025,62,NFL,Denver Broncos,Head Coach
