Year,Age,Level,Employer,Role
1974,23,College,Idaho State,Linebackers Coach
1975,24,College,Idaho State,Linebackers Coach
1976,25,College,Tufts,Linebackers Coach
1977,26,College,Tufts,Linebackers Coach
1978,27,College,American International,Defensive Coordinator
1979,28,College,American International,Defensive Coordinator
1980,29,College,Southern Connecticut State,Head Coach
1981,30,College,Southern Connecticut State,Head Coach
1982,31,College,Southern Connecticut State,Head Coach
1983,32,College,Southern Connecticut State,Head Coach
1984,33,College,Southern Connecticut State,Head Coach
1985,34,CFL,Ottawa Rough Riders,QB/WR Coach
1986,35,CFL,Ottawa Rough Riders,QB/WR Coach
1987,36,College,East Carolina,Passing Game Coordinator
1988,37,College,East Carolina,Offensive Coordinator
1989,38,NFL,Houston Oilers,Offensive Coordinator
1990,39,NFL,Houston Oilers,Offensive Coordinator
1991,40,NFL,Houston Oilers,Offensive Coordinator
1992,41,NFL,Houston Oilers,Offensive Coordinator
1993,42,NFL,Houston Oilers,Offensive Coordinator
1994,43,NFL,Houston Oilers,Offensive Coordinator
1995,44,NFL,Jacksonville Jaguars,Offensive Coordinator
1996,45,NFL,Jacksonville Jaguars,Offensive Coordinator
1997,46,NFL,San Diego Chargers,Head Coach
1998,47,NFL,San Diego Chargers,Head Coach
1999,48,NFL,Pittsburgh Steelers,Offensive Coordinator
2000,49,NFL,Pittsburgh Steelers,Offensive Coordinator
2002,51,NFL,Buffalo Bills,Offensive Coordinator
2003,52,NFL,Buffalo Bills,Offensive Coordinator
2007,56,NFL,New York Giants,Offensive Coordinator
2008,57,NFL,New York Giants,Offensive Coordinator
2009,58,NFL,New York Giants,Offensive Coordinator
2010,59,NFL,New York Giants,Offensive Coordinator
2011,60,NFL,New York Giants,Offensive Coordinator
2012,61,NFL,New York Giants,Offensive Coordinator
2013,62,NFL,New York Giants,Offensive Coordinator
2020,69,XFL,New York Guardians,Head Coach
2021,70,TSL,Jousters,Head Coach
