Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1961,42,HOU,AFL,9,9,0,0,1.000,16.9,11.4,5.5,1,1,0,1.000,1,AFL Champions
1962,43,STL,NFL,14,4,9,1,.308,-7.3,-3.7,-3.6,,,,,6,
1963,44,STL,NFL,14,9,5,0,.643,4.0,1.2,2.8,,,,,3,
1964,45,STL,NFL,14,9,3,2,.750,-0.6,2.5,-3.1,,,,,2,
1965,46,STL,NFL,14,5,9,0,.357,-7.0,-4.6,-2.4,,,,,5,
1966,47,HOU,AFL,14,3,11,0,.214,-4.8,2.1,-6.9,,,,,4,
1967,48,HOU,AFL,14,9,4,1,.692,2.6,-5.7,8.3,1,0,1,.000,1,
1968,49,HOU,AFL,14,7,7,0,.500,3.1,-1.0,4.1,,,,,2,
1969,50,HOU,AFL,14,6,6,2,.500,-1.2,-2.1,0.9,1,0,1,.000,2,
1970,51,HOU,NFL,14,3,10,1,.231,-9.2,-3.5,-5.8,,,,,4,
