Year,Age,Level,Employer,Role
1945,26,College,Notre Dame,Assistant Coach
1946,27,College,Carroll (WI),Assistant Coach
1947,28,College,Carroll (WI),Assistant Coach
1948,29,High School,Waukesha HS (WI),Head Coach
1949,30,College,Lake Forest Coll.,Assistant Coach
1950,31,College,Lake Forest Coll.,Assistant Coach
1951,32,College,Lake Forest Coll.,Assistant Coach
1952,33,College,Lake Forest Coll.,Head Coach
1953,34,College,Lake Forest Coll.,Head Coach
1954,35,College,Montana State,Head Coach
1955,36,College,Montana State,Head Coach
1956,37,NFL,Chicago Cardinals,Defensive Assistant
1957,38,College,Lake Forest Coll.,Head Coach
1959,40,NFL,Chicago Cardinals,Defensive Assistant
1960,41,AFL,Houston Oilers,Defensive Assistant
1961,42,AFL,Houston Oilers,Head Coach
1962,43,NFL,St. Louis Cardinals,Head Coach
1963,44,NFL,St. Louis Cardinals,Head Coach
1964,45,NFL,St. Louis Cardinals,Head Coach
1965,46,NFL,St. Louis Cardinals,Head Coach
1966,47,AFL,Houston Oilers,Head Coach
1967,48,AFL,Houston Oilers,Head Coach
1968,49,AFL,Houston Oilers,Head Coach
1969,50,AFL,Houston Oilers,Head Coach
1970,51,NFL,Houston Oilers,Head Coach
