Year,Age,Level,Employer,Role
1974,25,Junior College,Fullerton College,Asst. Coach
1974,25,WFL,The Hawaiians,Asst. Coach
1976,27,College (FBS),Utah,QB/WR
1977,28,College (FCS),Weber State,Offensive Coordinator
1978,29,College (FCS),Weber State,Offensive Coordinator
1979,30,College (FBS),Stanford,WR/RB
1980,31,College (FBS),Stanford,WR/RB
1981,32,College (FBS),Stanford,Offensive Coordinator
1982,33,College (FBS),Stanford,Offensive Coordinator
1983,34,College (FBS),Stanford,Offensive Coordinator
1984,35,USFL,New Orleans Breakers,Offensive Coordinator
1985,36,College (FBS),Utah,Head Coach
1986,37,College (FBS),Utah,Head Coach
1987,38,College (FBS),Utah,Head Coach
1988,39,College (FBS),Utah,Head Coach
1989,40,College (FBS),Utah,Head Coach
1991,42,NFL,New York Giants,Quarterbacks
1992,43,NFL,New York Giants,Offensive Coordinator
1993,44,NFL,Denver Broncos,Offensive Coordinator
1994,45,NFL,Denver Broncos,Offensive Coordinator
1996,47,NFL,Arizona Cardinals,Offensive Coordinator
1997,48,NFL,New York Giants,Head Coach
1998,49,NFL,New York Giants,Head Coach
1999,50,NFL,New York Giants,Head Coach
2000,51,NFL,New York Giants,Head Coach
2001,52,NFL,New York Giants,Head Coach
2002,53,NFL,New York Giants,Head Coach
2003,54,NFL,New York Giants,Head Coach
2004,55,NFL,Baltimore Ravens,Offensive Consultant
2005,56,NFL,Baltimore Ravens,Offensive Coordinator
2006,57,NFL,Baltimore Ravens,Offensive Coordinator
2009,60,UFL,Las Vegas Locomotives,Head Coach
2010,61,UFL,Las Vegas Locomotives,Head Coach
2011,62,UFL,Las Vegas Locomotives,Head Coach
2012,63,UFL,Las Vegas Locomotives,Head Coach
