,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
0,Aaron Kromer,2012,45,0,9,0,0,9,0,0,0,,,,,,,,,,0.75,0.35483871,0.903225806,0.935483871,0.833333333,1,0.5,0.333333333,0
1,Abe Gibron,1972,47,0,0,0,0,12,0,0,0,,,,,,,,,,0.428571429,0.36,0.26,0.06,0.166666667,0,0,0.267857143,1
2,Adam Gase,2016,38,0,0,0,0,5,3,0,0,0.752688172,0.752688172,0.64516129,,,,,,,0.4375,0.516129032,0.338709677,0.387096774,0.166666667,0,0,0.5,1
4,Adam Walsh,1945,44,0,8,0,12,0,0,0,0,,,,,,,,,,0.4,0.6,0.4,0.4,0.25,0,0,0.745454545,0
5,Al Cornsweet,1931,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.2,0
6,Al Davis,1963,34,0,7,0,0,0,0,0,0,,,,,,,,,,0.107142857,0.357142857,0,0,0,0,0,0.571428571,1
7,Al Groh,2000,56,0,10,3,7,7,5,0,0,,,,0.430395913,0.507790549,0.4651341,,,,0.625,0.811494253,0.664367816,0.497701149,0.625,0.5,0.5,0.5625,0
8,Al Jolley,1929,30,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,0,1,0,,,0.166666667,0
9,Al Jolley,1933,34,1,0,0,0,0,0,1,0,,,,,,,1,0.181818182,1,,,,,,,,0,0
10,Al Nesser,1926,34,0,0,0,0,0,0,0,0,,,,,,,,,,0.4375,1,0.433436533,1,0.568111455,,,0.25,0
11,Al Pierotti,1920,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.5,0
12,Al Saunders,1986,39,0,4,7,0,3,0,0,0,,,,,,,,,,0.46875,0.351851852,0.518518519,0.722222222,0.125,0,0,0.454166667,1
13,Aldo Donelli,1941,34,0,6,0,3,0,0,0,0,,,,,,,,,,0.204545455,0,0.111111111,0.055555556,0.25,0,0,0,0
14,Aldo Donelli,1944,37,1,6,0,4,1,0,1,1,,,,,,,0.111111111,0,0,0.454545455,0.444444444,0.444444444,0,0.5,0,0,0.4,0
15,Alex Webster,1969,38,0,0,0,0,2,0,0,0,,,,,,,,,,0.5,0.733333333,0.466666667,0.633333333,0.666666667,0,0,0.535714286,2
16,Alfred McGall,1930,49,0,0,0,10,0,0,0,0,,,,,,,,,,0.416666667,1,0.363636364,1,0.363636364,,,0,0
17,Algy Clark,1934,30,0,0,0,0,0,0,0,0,,,,,,,,,,0.35,0.777777778,0.222222222,0,0.25,,,0,0
18,Allie Sherman,1961,38,0,0,0,0,4,2,0,0,0.659090909,0.746212121,0.314393939,,,,,,,0.708333333,0.401515152,0.704545455,0.916666667,0.8,0.5,0,0.803571429,3
19,Andy Reid,1999,41,0,6,3,0,7,0,0,0,,,,,,,,,,0.296875,0.172413793,0.155172414,0.448275862,0.25,0,0,0.5,3
20,Andy Reid,2013,55,1,6,3,0,7,0,14,0,,,,,,,0.657066052,0.679646697,0.592549923,0.28125,0.241935484,0.048387097,0.258064516,0,0,0,0.625,3
21,Andy Salata,1930,25,0,0,0,0,0,0,0,0,,,,,,,,,,0.416666667,1,0.363636364,1,0.363636364,,,0.166666667,0
22,Anthony Lynn,2017,49,0,0,0,0,13,1,0,0,0.516129032,0.709677419,0.935483871,,,,,,,0.28125,0.306451613,0.241935484,0.612903226,0,0,0,0.65625,1
23,Archie Golembeski,1925,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.541666667,0
