,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2009,STL,OC,32,32,30,32,30,29,32,27,22,20,32,11,22,16,28,29,28,31,29,31,29,27,27,31,20,13,4,25,14,31,31
1,2010,STL,OC,32,17,10,19,24,26,26,8,14,25,24,31,2,5,21,25,13,30,19,12,17,8,17,4,22,10,24,19,7,19,9
2,2011,CLE,HC,32,28,13,27,28,29,30,4,21,28,32,31,5,11,24,27,8,30,10,5,25,31,30,18,21,7,2,2,4,28,6
3,2012,CLE,HC,32,26,12,24,29,25,24,17,24,24,13,21,9,13,19,28,26,25,23,19,9,23,19,21,13,8,27,25,21,11,17
4,2013,PHI,OC,32,10,4,9,10,2,4,4,4,1,2,1,16,27,9,5,3,3,29,17,3,19,10,15,4,5,32,32,14,8,22
5,2014,PHI,OC,32,11,26,8,11,5,3,32,7,9,5,15,31,5,6,12,32,11,28,22,6,28,15,21,5,1,27,31,28,21,20
6,2015,PHI,HC,32,17,22,20,26,12,13,29,11,14,10,21,28,6,12,20,26,19,30,28,10,30,32,10,28,11,28,28,31,10,15
7,,PHI,OC,32,17,22,20,26,12,13,29,11,14,10,21,28,6,12,20,26,19,30,28,10,30,32,10,28,11,28,28,31,10,15
8,2016,MIN,OC,32,17,4,15,18,28,23,7,25,32,26,32,24,12,18,21,2,21,3,6,7,14,20,3,17,4,10,3,11,12,2
9,2017,MIN,OC,32,1,12,5,1,11,10,3,2,7,7,23,7,21,11,12,2,9,1,1,23,3,2,9,5,29,19,2,1,13,2
10,2018,NYG,HC,32,26,13,22,24,17,16,11,29,24,16,10,8,9,11,21,12,17,24,23,15,25,20,28,11,28,20,23,13,7,27
11,2019,NYG,HC,32,29,31,28,26,23,18,30,29,19,22,7,32,9,18,5,25,23,25,30,28,29,20,28,4,27,17,28,25,25,29
12,2020,DEN,OC,32,25,24,27,30,29,30,22,30,29,27,24,18,11,27,21,20,30,20,12,24,17,7,1,7,16,29,29,23,25,16
